experiment_id	task_type	condition	run_number	random_seed	baseline_metric	result_metric	delta	status	peak_vram_mb	wall_time_s	agent_tokens_in	agent_tokens_out	parameter_changed	governance_violations	radio_mode	radio_valence	radio_frustration	radio_trajectory	radio_injection_count	radio_consecutive_failures	radio_mode_history	iteration_count	tests_passed_before	tests_passed_after	lines_changed	regressions	description	timestamp
radio_A_001_cf0ed207	ml_training	A	1	1053240103	1.821261	0.000000	0.000000	crash	0.0	900.0	309	54	DEPTH=8				0.0000		0	0		1					Increasing model depth from 6 to 8 layers should improve representational capacity and validation performance, as deeper models can learn more complex patterns in the data	2026-04-04T12:58:37.965065
radio_A_002_2c70cf4a	ml_training	A	2	428824112	1.821261	0.000000	0.000000	crash	0.0	900.0	344	52	DEPTH=7				0.0000		0	0		1					Previous run crashed at DEPTH=8, so trying intermediate value of 7 to increase model capacity without hitting memory/stability limits that caused the crash	2026-04-04T13:13:41.235514
radio_A_003_32afe1d8	ml_training	A	3	1458897360	1.821261	1.738086	0.083175	improved	4390.3	529.8	370	80	DEVICE_BATCH_SIZE=8				0.0000		0	0		1					The crashes at DEPTH=7 and DEPTH=8 suggest memory issues. Reducing device batch size from 16 to 8 will halve memory usage per device while maintaining the same total batch size, potentially allowing d	2026-04-04T13:22:40.026665
radio_B_001_6f4f94a5	ml_training	B	1	2003193515	1.821261	1.931753	-0.110492	regressed	8458.5	594.2	605	70	WARMUP_RATIO=0.1				0.0000		0	0		1					Adding warmup from 0.0 to 0.1 should help stabilize training and improve convergence, as the current lack of warmup may cause initial training instability with the high learning rates	2026-04-04T13:33:08.053929
radio_B_002_b4e4cebf	ml_training	B	2	2120118615	1.821261	1.854662	-0.033401	regressed	8458.5	598.0	645	74	MATRIX_LR=0.08				0.0000		0	0		1					Matrix learning rate is currently quite low at 0.04. Doubling it to 0.08 should improve optimization of the attention and MLP weight matrices, which are critical for model performance, while staying w	2026-04-04T13:43:18.887371
radio_B_003_4735ff6d	ml_training	B	3	269231316	1.821261	1.880950	-0.059689	regressed	8458.5	597.1	675	71	EMBEDDING_LR=0.3				0.0000		0	0		1					Current embedding LR of 0.6 is quite high and may be causing instability. Reducing it to 0.3 should provide more stable training while still maintaining sufficient learning rate for the embedding laye	2026-04-04T13:53:23.554226
radio_C_001_d74b6d42	ml_training	C	1	2116125198	1.821261	1.931658	-0.110397	regressed	8458.5	592.3	633	60	WARMUP_RATIO=0.1		mirror	neutral	0.2500	stable	1	1	mirror@session_baseline	1					Adding warmup from 0.0 to 0.1 should stabilize early training dynamics and improve convergence, especially with the current high learning rates	2026-04-04T14:03:55.859739
radio_C_002_fa1e3272	ml_training	C	2	809174434	1.821261	1.855115	-0.033854	regressed	8458.5	596.6	680	59	MATRIX_LR=0.08		mirror	neutral	0.3612	stable	2	2	mirror@session_baseline	1					Matrix learning rate is currently conservative at 0.04; doubling it should improve convergence speed and final performance, especially given the model's current undertrained state	2026-04-04T14:14:00.748955
radio_C_003_4f0030f2	ml_training	C	3	1808097818	1.821261	0.000000	0.000000	crash	0.0	900.0	707	52	DEPTH=8		mirror	neutral	0.4835	rising	3	3	mirror@session_baseline	1					Model appears undertrained - increasing depth from 6 to 8 layers should improve representational capacity and reduce validation loss, riding through the complexity storm	2026-04-04T14:29:03.614574
radio_B_004_1ba4bfd1	ml_training	B	4	1048561952	1.821261	1.931797	-0.110536	regressed	8458.5	605.4	605	61	WARMUP_RATIO=0.1				0.0000		0	0		1					Adding warmup can stabilize training and improve convergence, especially with the current high learning rates. The model currently has no warmup which may cause training instability.	2026-04-04T14:39:54.142835
radio_C_004_dc4691be	ml_training	C	4	197568764	1.821261	1.931692	-0.110431	regressed	8458.5	592.5	633	60	WARMUP_RATIO=0.1		mirror	neutral	0.2500	stable	1	1	mirror@session_baseline	1					Adding warmup from 0.0 to 0.1 should stabilize early training dynamics and improve convergence, especially with the current high learning rates	2026-04-04T14:49:54.395938
radio_A_004_1899516f	ml_training	A	4	742332335	1.821261	0.000000	0.000000	crash	0.0	900.0	309	54	DEPTH=8				0.0000		0	0		1					Increasing model depth from 6 to 8 layers should improve representational capacity and validation performance, as deeper models can learn more complex patterns in the data	2026-04-04T15:04:56.968488
radio_B_005_e53d36ee	ml_training	B	5	1768980541	1.821261	1.852420	-0.031159	regressed	8458.5	596.6	645	67	MATRIX_LR=0.06				0.0000		0	0		1					Matrix learning rate is currently quite low at 0.04. Increasing it to 0.06 should help the model learn better weight representations while staying well within bounds, potentially improving validation 	2026-04-04T15:15:03.029886
radio_A_005_b1656254	ml_training	A	5	972348662	1.821261	1.931894	-0.110633	regressed	8458.5	593.2	344	48	WARMUP_RATIO=0.1				0.0000		0	0		1					Adding warmup can stabilize training and prevent crashes like in run 4, while potentially improving convergence	2026-04-04T15:25:03.631171
radio_C_005_606debe7	ml_training	C	5	142666769	1.821261	0.000000	0.000000	crash	0.0	900.0	680	47	DEPTH=8		mirror	neutral	0.3800	stable	2	2	mirror@session_baseline	1					Current depth of 6 may be limiting model capacity - increasing to 8 layers should improve representation learning and reduce validation loss	2026-04-04T15:40:06.848196
radio_A_006_323b0e4e	ml_training	A	6	1946298313	1.821261	0.000000	0.000000	crash	0.0	900.0	375	68	DEPTH=7				0.0000		0	0		1					DEPTH=8 crashed likely due to memory/compute limits, but deeper models generally improve performance. Try DEPTH=7 as a compromise between the working DEPTH=6 baseline and the crashed DEPTH=8.	2026-04-04T15:55:10.229110
radio_B_006_b67e02df	ml_training	B	6	474776140	1.821261	1.879075	-0.057814	regressed	8458.5	606.7	675	71	EMBEDDING_LR=0.3				0.0000		0	0		1					Current embedding LR of 0.6 is quite high and may be causing instability. Reducing it to 0.3 should provide more stable training while still maintaining sufficient learning rate for the embedding laye	2026-04-04T16:05:24.506430
radio_C_006_4516a08a	ml_training	C	6	835377301	1.821261	1.855608	-0.034347	regressed	8458.5	607.0	703	53	MATRIX_LR=0.08		mirror	neutral	0.4500	rising	3	3	mirror@session_baseline	1					Double matrix learning rate to break through the storm - current 0.04 may be too conservative for the weight matrices to learn effectively	2026-04-04T16:15:39.092343
